"","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","saved"
"84",0.686,0.689,3,-5.558,0.0366,0.000313,0.69,0.0492,0.875,121.329,140533,4,1
"85",0.358,0.559,7,-4.689,0.0361,0.0407,0.00013,0.0821,0.334,74.343,214839,4,1
"86",0.506,0.671,2,-6.454,0.0405,0.058,7.22e-06,0.0737,0.692,108.546,246143,4,1
"87",0.502,0.652,9,-7.224,0.3,0.0849,0,0.0675,0.649,136.04,254093,4,1
"88",0.423,0.748,5,-9.832,0.0387,0.03,0.221,0.169,0.428,93.977,325200,4,1
"89",0.32,0.798,10,-7.078,0.124,0.00033,0.692,0.176,0.74,84.696,209040,4,1
"90",0.485,0.846,11,-7.63,0.0528,0.0157,0.0287,0.0766,0.743,144.246,237013,4,1
"91",0.341,0.552,8,-10.503,0.0423,8.02e-05,0.616,0.0591,0.486,121.361,182493,4,1
"92",0.731,0.875,7,-6.393,0.0459,0.000367,0.858,0.289,0.166,112.775,594453,4,1
"93",0.783,0.666,8,-9.523,0.0814,0.665,0,0.204,0.906,92.471,233120,4,1
"94",0.701,0.656,7,-10.958,0.0326,0.151,0.00012,0.0739,0.851,102.878,243533,4,1
"95",0.685,0.843,7,-8.363,0.0558,0.0526,0.0239,0.229,0.661,91.272,350466,4,1
"96",0.486,0.312,2,-13.522,0.0533,0.726,1.59e-06,0.0601,0.598,205.917,166827,4,1
"97",0.445,0.612,9,-12.025,0.0589,0.118,0.00661,0.175,0.497,91.732,474400,4,1
"98",0.319,0.65,6,-13.927,0.0375,0.0762,0.129,0.0962,0.383,149.886,317206,4,1
"99",0.238,0.964,4,-7.132,0.22,2.68e-06,0.00682,0.357,0.319,117.967,173200,4,1
"100",0.816,0.514,10,-8.741,0.0339,0.767,0.949,0.0899,0.912,136.837,176333,4,1
"101",0.682,0.819,9,-6.116,0.0501,0.00994,0.881,0.0389,0.312,130.032,334800,4,1
"102",0.532,0.948,11,-5.153,0.0818,0.00325,0.449,0.14,0.376,141.513,279800,4,1
"103",0.39,0.839,4,-4.69,0.0541,0.00619,5.61e-06,0.287,0.541,152.089,132867,4,1
"104",0.257,0.35,9,-8.84,0.0284,0.102,1.34e-05,0.116,0.237,80.541,238693,4,1
"105",0.504,0.793,4,-5.364,0.0398,0.00457,0.00308,0.193,0.182,128.034,252440,4,1
"106",0.603,0.944,11,-3.626,0.347,0.0481,0,0.342,0.418,130.035,202853,4,1
"107",0.494,0.653,0,-8.63,0.117,0.199,0.0635,0.153,0.28,78.132,333400,4,1
"108",0.503,0.855,9,-5.585,0.188,0.166,0.127,0.0606,0.547,88.175,207640,4,1
"109",0.357,0.961,9,-4.686,0.149,0.138,0.00117,0.453,0.439,170.551,236853,4,1
"110",0.547,0.943,2,-2.502,0.244,0.00463,0.00789,0.685,0.515,92.262,202307,4,1
"111",0.509,0.96,5,-2.397,0.119,0.00103,0.000903,0.537,0.534,89.258,162027,4,1
"112",0.334,0.957,0,-2.189,0.0737,3.94e-05,0,0.212,0.418,90.071,188280,4,1
"113",0.339,0.986,0,-2.954,0.157,0.000126,0.00179,0.151,0.307,102.873,185400,4,1
"114",0.447,0.975,2,-3.271,0.0731,5.11e-05,0.402,0.673,0.214,107.491,180187,4,1
"115",0.348,0.754,4,-7.661,0.0962,0.121,3.07e-05,0.307,0.764,81.049,230184,4,1
"116",0.516,0.567,0,-8.943,0.0732,0.449,0.0252,0.105,0.436,119.631,249387,4,1
"117",0.428,0.957,9,-3.201,0.0565,6.53e-06,0.0213,0.0503,0.467,144.086,255627,3,1
"118",0.339,0.974,9,-2.007,0.232,0.798,0.00296,0.363,0.373,76.126,149400,4,1
"119",0.344,0.606,9,-4.064,0.033,0.458,3.05e-06,0.0737,0.459,80.595,184600,4,1
"120",0.193,0.989,9,-3.944,0.423,0.0215,0.317,0.0652,0.473,184.119,108467,4,1
"121",0.469,0.735,7,-7.011,0.0395,0.323,6.35e-05,0.372,0.399,93.924,220347,4,1
"122",0.296,0.983,9,-4.171,0.429,0.0227,0.000411,0.122,0.305,151.922,197733,4,1
"123",0.653,0.519,2,-10.164,0.0497,0.406,0.0209,0.101,0.822,98.883,153693,4,1
"124",0.721,0.521,2,-8.123,0.0612,0.0707,0.00552,0.127,0.942,123.118,261413,4,1
"125",0.795,0.63,10,-7.217,0.0841,0.0419,0.575,0.0894,0.785,108.701,181107,4,1
"126",0.619,0.579,4,-9.307,0.0473,0.0152,6.4e-05,0.0858,0.69,127.224,225627,4,1
"127",0.621,0.901,2,-5.396,0.0302,0.17,0,0.0875,0.744,113.967,300773,4,1
"128",0.551,0.788,7,-10.594,0.0337,0.339,0.000582,0.0945,0.792,124.995,185827,4,1
"129",0.467,0.645,1,-7.614,0.0364,0.101,0.00524,0.144,0.71,127.947,201707,3,1
"130",0.613,0.537,2,-8.674,0.0327,0.0648,0.0142,0.0695,0.382,126.843,216400,4,1
"131",0.466,0.438,4,-12.858,0.0608,0.089,5.62e-06,0.113,0.587,193.1,233000,4,1
"132",0.611,0.736,5,-7.651,0.0443,0.0876,0.757,0.0934,0.544,147.934,288307,4,1
"133",0.816,0.757,6,-4.303,0.039,0.166,0.0495,0.105,0.965,114.971,163440,4,1
"134",0.446,0.564,5,-6.889,0.0626,0.00873,0.00145,0.152,0.276,190.164,169673,4,1
"135",0.933,0.769,2,-6.944,0.0401,0.282,9.21e-05,0.0344,0.862,108.196,347280,4,1
"136",0.8,0.496,11,-8.533,0.334,0.42,0,0.178,0.733,90.916,261253,4,1
"137",0.89,0.836,2,-6.875,0.353,0.0499,0.0526,0.107,0.803,102.058,234333,4,1
"138",0.831,0.648,0,-7.262,0.242,0.0429,0,0.368,0.355,95.029,250453,4,1
"139",0.639,0.93,2,-4.482,0.387,0.00412,0,0.196,0.791,90.087,227720,4,1
"140",0.362,0.649,3,-7.094,0.0348,0.132,0.0113,0.0596,0.143,111.697,278373,4,1
"141",0.915,0.807,6,-9.636,0.13,0.011,0.000122,0.201,0.708,127.35,319960,4,1
"142",0.482,0.978,7,-4.132,0.0928,0.00114,0.000676,0.349,0.249,135.906,226077,4,1
"143",0.637,0.283,10,-14.718,0.0323,0.192,0.248,0.108,0.133,134.125,354067,4,1
"144",0.563,0.845,2,-4.775,0.0558,0.0952,0.338,0.0956,0.518,117.046,200813,4,1
"145",0.446,0.847,9,-3.069,0.0364,0.0224,0,0.159,0.477,123.198,202467,4,1
"146",0.441,0.91,4,-3.846,0.063,0.00106,0.0337,0.077,0.58,112.807,193133,5,1
"147",0.481,0.796,9,-10.153,0.03,0.36,0.888,0.146,0.853,123.166,230987,4,1
"148",0.769,0.367,2,-16.781,0.0305,0.00696,0,0.0619,0.891,105.59,194667,4,1
"149",0.318,0.881,9,-4.967,0.0391,0.0308,0.00014,0.4,0.758,166.599,165560,4,1
"150",0.594,0.959,0,-3.838,0.17,0.00989,0,0.34,0.32,105.152,197640,4,1
"151",0.618,0.588,2,-11.624,0.0735,0.0128,0.0266,0.351,0.768,86.903,146973,4,1
