danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, type, id, uri, track_href, analysis_url, duration_ms, time_signature
0.515, 0.562, 2, -14.204, 1, 0.0403, 0.378, 0.000101, 0.0966, 0.934, 167.709, audio_features, 4h0LDG7Ji9G2dxG1hb6JoL, spotify:track:4h0LDG7Ji9G2dxG1hb6JoL, https://api.spotify.com/v1/tracks/4h0LDG7Ji9G2dxG1hb6JoL, https://api.spotify.com/v1/audio-analysis/4h0LDG7Ji9G2dxG1hb6JoL, 157387, 4
0.497, 0.964, 5, -1.927, 0, 0.0664, 0.0507, 0.804, 0.411, 0.495, 90.985, audio_features, 4hXfw3LYoQTqfCf4K7Nxcd, spotify:track:4hXfw3LYoQTqfCf4K7Nxcd, https://api.spotify.com/v1/tracks/4hXfw3LYoQTqfCf4K7Nxcd, https://api.spotify.com/v1/audio-analysis/4hXfw3LYoQTqfCf4K7Nxcd, 270907, 4
0.487, 0.635, 2, -11.617, 1, 0.0522, 0.000619, 0.0294, 0.443, 0.729, 106.894, audio_features, 4nJCE9UyNXhuERnSX8YgSH, spotify:track:4nJCE9UyNXhuERnSX8YgSH, https://api.spotify.com/v1/tracks/4nJCE9UyNXhuERnSX8YgSH, https://api.spotify.com/v1/audio-analysis/4nJCE9UyNXhuERnSX8YgSH, 246773, 4
0.573, 0.701, 11, -7.826, 0, 0.159, 0.641, 0, 0.333, 0.835, 171.646, audio_features, 4lcHi1Rvfx3alej9qEezPm, spotify:track:4lcHi1Rvfx3alej9qEezPm, https://api.spotify.com/v1/tracks/4lcHi1Rvfx3alej9qEezPm, https://api.spotify.com/v1/audio-analysis/4lcHi1Rvfx3alej9qEezPm, 212733, 4
0.387, 0.196, 7, -22.884, 1, 0.0414, 0.931, 0.874, 0.11, 0.372, 95.946, audio_features, 51NHmSOPGDM5zGVooMEDRm, spotify:track:51NHmSOPGDM5zGVooMEDRm, https://api.spotify.com/v1/tracks/51NHmSOPGDM5zGVooMEDRm, https://api.spotify.com/v1/audio-analysis/51NHmSOPGDM5zGVooMEDRm, 116933, 4
0.346, 0.578, 6, -7.593, 1, 0.0323, 0.129, 0.756, 0.128, 0.648, 174.396, audio_features, 0vm9tMgto3CrLEvuWzemZ9, spotify:track:0vm9tMgto3CrLEvuWzemZ9, https://api.spotify.com/v1/tracks/0vm9tMgto3CrLEvuWzemZ9, https://api.spotify.com/v1/audio-analysis/0vm9tMgto3CrLEvuWzemZ9, 367000, 4
0.378, 0.537, 0, -7.76, 1, 0.0316, 0.00382, 0.000589, 0.222, 0.34, 75.212, audio_features, 5cbPK6WnabgkNURIcMscRd, spotify:track:5cbPK6WnabgkNURIcMscRd, https://api.spotify.com/v1/tracks/5cbPK6WnabgkNURIcMscRd, https://api.spotify.com/v1/audio-analysis/5cbPK6WnabgkNURIcMscRd, 307733, 4
0.653, 0.557, 10, -10.853, 0, 0.0368, 0.15, 9.83e-05, 0.106, 0.787, 130.601, audio_features, 5ewWPpHtJjSuI9UoXN8wcC, spotify:track:5ewWPpHtJjSuI9UoXN8wcC, https://api.spotify.com/v1/tracks/5ewWPpHtJjSuI9UoXN8wcC, https://api.spotify.com/v1/audio-analysis/5ewWPpHtJjSuI9UoXN8wcC, 130333, 4
0.437, 0.565, 11, -5.937, 0, 0.0335, 0.598, 1e-05, 0.417, 0.517, 135.416, audio_features, 5ikLBjYfD6E01osTsTUdG9, spotify:track:5ikLBjYfD6E01osTsTUdG9, https://api.spotify.com/v1/tracks/5ikLBjYfD6E01osTsTUdG9, https://api.spotify.com/v1/audio-analysis/5ikLBjYfD6E01osTsTUdG9, 211773, 4
0.389, 0.681, 11, -11.599, 0, 0.0288, 0.264, 0.816, 0.0859, 0.769, 101.848, audio_features, 5uDu2qOoDou7cFXsipAo8l, spotify:track:5uDu2qOoDou7cFXsipAo8l, https://api.spotify.com/v1/tracks/5uDu2qOoDou7cFXsipAo8l, https://api.spotify.com/v1/audio-analysis/5uDu2qOoDou7cFXsipAo8l, 218893, 4
0.744, 0.667, 4, -7.539, 0, 0.063, 0.0679, 0.36, 0.306, 0.766, 90.387, audio_features, 5K9kCwY1e68H7JxU6893Uv, spotify:track:5K9kCwY1e68H7JxU6893Uv, https://api.spotify.com/v1/tracks/5K9kCwY1e68H7JxU6893Uv, https://api.spotify.com/v1/audio-analysis/5K9kCwY1e68H7JxU6893Uv, 307093, 4
0.551, 0.619, 10, -6.929, 0, 0.185, 0.155, 0.0267, 0.854, 0.481, 83.959, audio_features, 6uNyTYOEaNOY38r1dgoqAL, spotify:track:6uNyTYOEaNOY38r1dgoqAL, https://api.spotify.com/v1/tracks/6uNyTYOEaNOY38r1dgoqAL, https://api.spotify.com/v1/audio-analysis/6uNyTYOEaNOY38r1dgoqAL, 576360, 4
0.53, 0.306, 2, -17.594, 1, 0.0728, 0.0253, 0.324, 0.212, 0.293, 80.882, audio_features, 7nZ905nkN22IwdImOXl1N7, spotify:track:7nZ905nkN22IwdImOXl1N7, https://api.spotify.com/v1/tracks/7nZ905nkN22IwdImOXl1N7, https://api.spotify.com/v1/audio-analysis/7nZ905nkN22IwdImOXl1N7, 450387, 4
0.727, 0.801, 1, -9.823, 1, 0.0425, 0.0764, 4.64e-05, 0.165, 0.956, 150.5, audio_features, 71YuK59hLjyyzn28YKxuOC, spotify:track:71YuK59hLjyyzn28YKxuOC, https://api.spotify.com/v1/tracks/71YuK59hLjyyzn28YKxuOC, https://api.spotify.com/v1/audio-analysis/71YuK59hLjyyzn28YKxuOC, 161800, 4
0.583, 0.883, 10, -4.006, 1, 0.0358, 0.109, 8.25e-06, 0.109, 0.852, 165.075, audio_features, 7u8TLEgrY13mAXjzNUFe1S, spotify:track:7u8TLEgrY13mAXjzNUFe1S, https://api.spotify.com/v1/tracks/7u8TLEgrY13mAXjzNUFe1S, https://api.spotify.com/v1/audio-analysis/7u8TLEgrY13mAXjzNUFe1S, 215147, 4
0.322, 0.843, 9, -9.567, 1, 0.0464, 0.000107, 0.0146, 0.0771, 0.345, 129.752, audio_features, 05DohKWCxbesK6ezHYFJFY, spotify:track:05DohKWCxbesK6ezHYFJFY, https://api.spotify.com/v1/tracks/05DohKWCxbesK6ezHYFJFY, https://api.spotify.com/v1/audio-analysis/05DohKWCxbesK6ezHYFJFY, 255720, 4
0.683, 0.783, 8, -6.866, 1, 0.0459, 0.159, 0.18, 0.0704, 0.808, 134.97, audio_features, 0YPIETceecHVR0VWuRPRT3, spotify:track:0YPIETceecHVR0VWuRPRT3, https://api.spotify.com/v1/tracks/0YPIETceecHVR0VWuRPRT3, https://api.spotify.com/v1/audio-analysis/0YPIETceecHVR0VWuRPRT3, 284936, 4
0.429, 0.668, 4, -7.539, 0, 0.044, 0.208, 0, 0.538, 0.398, 77.737, audio_features, 0WNGPpmWqzPnk0psUhJ3SX, spotify:track:0WNGPpmWqzPnk0psUhJ3SX, https://api.spotify.com/v1/tracks/0WNGPpmWqzPnk0psUhJ3SX, https://api.spotify.com/v1/audio-analysis/0WNGPpmWqzPnk0psUhJ3SX, 211067, 4
0.713, 0.956, 6, -6.166, 0, 0.0429, 0.314, 0.47, 0.0539, 0.893, 112.75, audio_features, 1LclSylnnHUKdrCZjS0V6M, spotify:track:1LclSylnnHUKdrCZjS0V6M, https://api.spotify.com/v1/tracks/1LclSylnnHUKdrCZjS0V6M, https://api.spotify.com/v1/audio-analysis/1LclSylnnHUKdrCZjS0V6M, 375307, 4
0.665, 0.766, 10, -9.454, 0, 0.0505, 0.0492, 0.338, 0.113, 0.905, 73.683, audio_features, 1ArPaGroPm9Dm9PuVXchcI, spotify:track:1ArPaGroPm9Dm9PuVXchcI, https://api.spotify.com/v1/tracks/1ArPaGroPm9Dm9PuVXchcI, https://api.spotify.com/v1/audio-analysis/1ArPaGroPm9Dm9PuVXchcI, 219307, 4
0.396, 0.752, 5, -6.058, 0, 0.0455, 0.14, 0.0135, 0.113, 0.703, 176.372, audio_features, 3NSnGpJL902wG2QUkt9CsT, spotify:track:3NSnGpJL902wG2QUkt9CsT, https://api.spotify.com/v1/tracks/3NSnGpJL902wG2QUkt9CsT, https://api.spotify.com/v1/audio-analysis/3NSnGpJL902wG2QUkt9CsT, 217640, 4
0.51, 0.816, 2, -7.127, 1, 0.0484, 0.0148, 0.0574, 0.115, 0.618, 110.124, audio_features, 1s5wRbjKYS4PwvRiUDGtVt, spotify:track:1s5wRbjKYS4PwvRiUDGtVt, https://api.spotify.com/v1/tracks/1s5wRbjKYS4PwvRiUDGtVt, https://api.spotify.com/v1/audio-analysis/1s5wRbjKYS4PwvRiUDGtVt, 289486, 4
0.463, 0.827, 5, -6.683, 1, 0.0307, 0.0117, 0.425, 0.504, 0.809, 166.688, audio_features, 4Rw5ErjPrtzAa4lJz4KfxM, spotify:track:4Rw5ErjPrtzAa4lJz4KfxM, https://api.spotify.com/v1/tracks/4Rw5ErjPrtzAa4lJz4KfxM, https://api.spotify.com/v1/audio-analysis/4Rw5ErjPrtzAa4lJz4KfxM, 431747, 4
0.798, 0.786, 2, -7.262, 1, 0.0567, 0.113, 0.12, 0.0867, 0.564, 123.195, audio_features, 2Kn18Ucfr9H7rOgyoc5Y6J, spotify:track:2Kn18Ucfr9H7rOgyoc5Y6J, https://api.spotify.com/v1/tracks/2Kn18Ucfr9H7rOgyoc5Y6J, https://api.spotify.com/v1/audio-analysis/2Kn18Ucfr9H7rOgyoc5Y6J, 376583, 4
0.686, 0.762, 9, -7.194, 0, 0.138, 0.00814, 0.00012, 0.12, 0.825, 98.069, audio_features, 2cBsbfrtkRTyABfWHDZBAH, spotify:track:2cBsbfrtkRTyABfWHDZBAH, https://api.spotify.com/v1/tracks/2cBsbfrtkRTyABfWHDZBAH, https://api.spotify.com/v1/audio-analysis/2cBsbfrtkRTyABfWHDZBAH, 178040, 4
0.505, 0.725, 2, -9.479, 1, 0.059, 0.00762, 0.00277, 0.231, 0.775, 118.69, audio_features, 3kzIjUWjZkiMZ1x4zyDJN0, spotify:track:3kzIjUWjZkiMZ1x4zyDJN0, https://api.spotify.com/v1/tracks/3kzIjUWjZkiMZ1x4zyDJN0, https://api.spotify.com/v1/audio-analysis/3kzIjUWjZkiMZ1x4zyDJN0, 246307, 4
0.753, 0.48, 10, -11.883, 1, 0.0621, 0.525, 0.295, 0.087, 0.623, 87.998, audio_features, 37RqEET1SYQaAcHDxDQLZY, spotify:track:37RqEET1SYQaAcHDxDQLZY, https://api.spotify.com/v1/tracks/37RqEET1SYQaAcHDxDQLZY, https://api.spotify.com/v1/audio-analysis/37RqEET1SYQaAcHDxDQLZY, 311880, 4
0.606, 0.629, 0, -7.608, 1, 0.0255, 0.00332, 0.0196, 0.0792, 0.732, 141.573, audio_features, 3RU9FC0SZpEa2a4MqEJXSK, spotify:track:3RU9FC0SZpEa2a4MqEJXSK, https://api.spotify.com/v1/tracks/3RU9FC0SZpEa2a4MqEJXSK, https://api.spotify.com/v1/audio-analysis/3RU9FC0SZpEa2a4MqEJXSK, 260573, 4
