danceability, energy, key, loudness, mode, speechiness, acousticness, instrumentalness, liveness, valence, tempo, type, id, uri, track_href, analysis_url, duration_ms, time_signature
0.28, 0.905, 2, -5.184, 1, 0.0742, 0.138, 0.612, 0.549, 0.52, 103.297, audio_features, 7oOfzBnlckN4bEjwn2xkqY, spotify:track:7oOfzBnlckN4bEjwn2xkqY, https://api.spotify.com/v1/tracks/7oOfzBnlckN4bEjwn2xkqY, https://api.spotify.com/v1/audio-analysis/7oOfzBnlckN4bEjwn2xkqY, 186253, 5
0.459, 0.964, 6, -4.021, 1, 0.099, 0.0207, 0.114, 0.246, 0.356, 107.244, audio_features, 19wpm3sZnIU8sZBBPg7e42, spotify:track:19wpm3sZnIU8sZBBPg7e42, https://api.spotify.com/v1/tracks/19wpm3sZnIU8sZBBPg7e42, https://api.spotify.com/v1/audio-analysis/19wpm3sZnIU8sZBBPg7e42, 198387, 4
0.587, 0.874, 2, -3.597, 1, 0.0544, 0.0546, 0.000452, 0.0511, 0.469, 95.017, audio_features, 1Dhi8OBMSyukjUQ93uBfNz, spotify:track:1Dhi8OBMSyukjUQ93uBfNz, https://api.spotify.com/v1/tracks/1Dhi8OBMSyukjUQ93uBfNz, https://api.spotify.com/v1/audio-analysis/1Dhi8OBMSyukjUQ93uBfNz, 291400, 4
0.247, 0.75, 11, -4.624, 0, 0.041, 0.501, 0.0389, 0.624, 0.416, 79.603, audio_features, 2GClIkNR8dP3E2jZEklaZE, spotify:track:2GClIkNR8dP3E2jZEklaZE, https://api.spotify.com/v1/tracks/2GClIkNR8dP3E2jZEklaZE, https://api.spotify.com/v1/audio-analysis/2GClIkNR8dP3E2jZEklaZE, 240987, 4
0.645, 0.914, 1, -5.832, 0, 0.0418, 0.00733, 0.0168, 0.0918, 0.615, 125.027, audio_features, 7lzwtE0vSV5i2EJeUhVGYK, spotify:track:7lzwtE0vSV5i2EJeUhVGYK, https://api.spotify.com/v1/tracks/7lzwtE0vSV5i2EJeUhVGYK, https://api.spotify.com/v1/audio-analysis/7lzwtE0vSV5i2EJeUhVGYK, 469246, 4
0.214, 0.604, 1, -7.095, 0, 0.0602, 0.000184, 0, 0.0782, 0.312, 104.202, audio_features, 7IRYckMYwC53iCJNBFCX6r, spotify:track:7IRYckMYwC53iCJNBFCX6r, https://api.spotify.com/v1/tracks/7IRYckMYwC53iCJNBFCX6r, https://api.spotify.com/v1/audio-analysis/7IRYckMYwC53iCJNBFCX6r, 158800, 4
0.537, 0.739, 4, -10.408, 1, 0.054, 0.239, 0.00401, 0.225, 0.761, 142.338, audio_features, 02aWAdRVRKtRBf9bjAkSiw, spotify:track:02aWAdRVRKtRBf9bjAkSiw, https://api.spotify.com/v1/tracks/02aWAdRVRKtRBf9bjAkSiw, https://api.spotify.com/v1/audio-analysis/02aWAdRVRKtRBf9bjAkSiw, 189727, 4
0.179, 0.807, 7, -8.822, 1, 0.104, 0.000118, 0.475, 0.334, 0.637, 157.149, audio_features, 5a03Q6nUTgYBdXgG3vMw0w, spotify:track:5a03Q6nUTgYBdXgG3vMw0w, https://api.spotify.com/v1/tracks/5a03Q6nUTgYBdXgG3vMw0w, https://api.spotify.com/v1/audio-analysis/5a03Q6nUTgYBdXgG3vMw0w, 155293, 4
0.33, 0.8, 1, -11.925, 1, 0.0628, 0.0633, 0.127, 0.349, 0.629, 142.918, audio_features, 3O6zlrsCnWIvFsdQmCMdVk, spotify:track:3O6zlrsCnWIvFsdQmCMdVk, https://api.spotify.com/v1/tracks/3O6zlrsCnWIvFsdQmCMdVk, https://api.spotify.com/v1/audio-analysis/3O6zlrsCnWIvFsdQmCMdVk, 183773, 4
0.248, 0.618, 0, -8.591, 1, 0.0458, 0.812, 0.509, 0.131, 0.543, 128.552, audio_features, 2NHAfBOHvomFTmUfSv5mkh, spotify:track:2NHAfBOHvomFTmUfSv5mkh, https://api.spotify.com/v1/tracks/2NHAfBOHvomFTmUfSv5mkh, https://api.spotify.com/v1/audio-analysis/2NHAfBOHvomFTmUfSv5mkh, 212653, 4
0.474, 0.721, 2, -8.229, 1, 0.101, 0.0186, 0.000946, 0.0856, 0.397, 108.99, audio_features, 31uARo8uutOHb5rXbdUq7A, spotify:track:31uARo8uutOHb5rXbdUq7A, https://api.spotify.com/v1/tracks/31uARo8uutOHb5rXbdUq7A, https://api.spotify.com/v1/audio-analysis/31uARo8uutOHb5rXbdUq7A, 321587, 4
0.484, 0.527, 2, -6.823, 1, 0.057, 0.561, 0.00889, 0.288, 0.344, 139.847, audio_features, 6mRdmORgq7p8HfKo2ieOvm, spotify:track:6mRdmORgq7p8HfKo2ieOvm, https://api.spotify.com/v1/tracks/6mRdmORgq7p8HfKo2ieOvm, https://api.spotify.com/v1/audio-analysis/6mRdmORgq7p8HfKo2ieOvm, 317293, 4
0.475, 0.792, 4, -1.717, 1, 0.0357, 0.000555, 0.00112, 0.127, 0.563, 94.057, audio_features, 5jlRFJpxfsUKHlKFowSjH6, spotify:track:5jlRFJpxfsUKHlKFowSjH6, https://api.spotify.com/v1/tracks/5jlRFJpxfsUKHlKFowSjH6, https://api.spotify.com/v1/audio-analysis/5jlRFJpxfsUKHlKFowSjH6, 225520, 4
0.442, 0.957, 7, -5.12, 1, 0.0584, 8.66e-05, 0.734, 0.108, 0.374, 95.006, audio_features, 62wIzcoGFJGEEQ5W9yQRfC, spotify:track:62wIzcoGFJGEEQ5W9yQRfC, https://api.spotify.com/v1/tracks/62wIzcoGFJGEEQ5W9yQRfC, https://api.spotify.com/v1/audio-analysis/62wIzcoGFJGEEQ5W9yQRfC, 176547, 4
0.55, 0.568, 5, -10.387, 1, 0.037, 0.432, 0.81, 0.104, 0.341, 94.04, audio_features, 4xwe7H1IqINUZtMWr2XTjs, spotify:track:4xwe7H1IqINUZtMWr2XTjs, https://api.spotify.com/v1/tracks/4xwe7H1IqINUZtMWr2XTjs, https://api.spotify.com/v1/audio-analysis/4xwe7H1IqINUZtMWr2XTjs, 202147, 4
0.668, 0.743, 7, -9.367, 0, 0.0904, 0.221, 0.751, 0.0774, 0.511, 114.928, audio_features, 5jP7RweqXrSJ4tHTvQqXxw, spotify:track:5jP7RweqXrSJ4tHTvQqXxw, https://api.spotify.com/v1/tracks/5jP7RweqXrSJ4tHTvQqXxw, https://api.spotify.com/v1/audio-analysis/5jP7RweqXrSJ4tHTvQqXxw, 385067, 4
0.733, 0.781, 1, -8.274, 0, 0.0367, 0.0354, 0.261, 0.0878, 0.965, 121.614, audio_features, 5eSllZgRWCIJsDTAqFRwQw, spotify:track:5eSllZgRWCIJsDTAqFRwQw, https://api.spotify.com/v1/tracks/5eSllZgRWCIJsDTAqFRwQw, https://api.spotify.com/v1/audio-analysis/5eSllZgRWCIJsDTAqFRwQw, 319227, 4
0.44, 0.933, 2, -4.796, 1, 0.0388, 0.448, 0.372, 0.0713, 0.626, 103.038, audio_features, 6fTww3kL4SxbezLB52BZh4, spotify:track:6fTww3kL4SxbezLB52BZh4, https://api.spotify.com/v1/tracks/6fTww3kL4SxbezLB52BZh4, https://api.spotify.com/v1/audio-analysis/6fTww3kL4SxbezLB52BZh4, 221658, 4
0.437, 0.991, 10, -3.89, 0, 0.106, 0.0647, 0.0229, 0.362, 0.436, 131.306, audio_features, 4kjK1JhzQQVl8kuhMHaEcW, spotify:track:4kjK1JhzQQVl8kuhMHaEcW, https://api.spotify.com/v1/tracks/4kjK1JhzQQVl8kuhMHaEcW, https://api.spotify.com/v1/audio-analysis/4kjK1JhzQQVl8kuhMHaEcW, 213949, 4
0.422, 0.959, 1, -5.034, 1, 0.0606, 0.0826, 2.71e-06, 0.593, 0.648, 174.06, audio_features, 6zPSeuWlNSPWcdFXP7oi7I, spotify:track:6zPSeuWlNSPWcdFXP7oi7I, https://api.spotify.com/v1/tracks/6zPSeuWlNSPWcdFXP7oi7I, https://api.spotify.com/v1/audio-analysis/6zPSeuWlNSPWcdFXP7oi7I, 316720, 4
0.606, 0.903, 4, -3.944, 1, 0.0799, 0.0127, 0.000125, 0.0982, 0.822, 142.905, audio_features, 1whEcbGEgWEaTfUPbjkn61, spotify:track:1whEcbGEgWEaTfUPbjkn61, https://api.spotify.com/v1/tracks/1whEcbGEgWEaTfUPbjkn61, https://api.spotify.com/v1/audio-analysis/1whEcbGEgWEaTfUPbjkn61, 177006, 4
0.686, 0.729, 7, -4.848, 1, 0.0298, 0.175, 0.000833, 0.137, 0.79, 123.546, audio_features, 7h69nvFshbhUpesEXBPH0w, spotify:track:7h69nvFshbhUpesEXBPH0w, https://api.spotify.com/v1/tracks/7h69nvFshbhUpesEXBPH0w, https://api.spotify.com/v1/audio-analysis/7h69nvFshbhUpesEXBPH0w, 192933, 4
0.673, 0.673, 2, -7.407, 1, 0.0582, 0.243, 0.0191, 0.089, 0.544, 96.959, audio_features, 1GreGTs4rIfjDILBERxKcB, spotify:track:1GreGTs4rIfjDILBERxKcB, https://api.spotify.com/v1/tracks/1GreGTs4rIfjDILBERxKcB, https://api.spotify.com/v1/audio-analysis/1GreGTs4rIfjDILBERxKcB, 329800, 4
0.612, 0.912, 11, -4.219, 0, 0.0387, 0.103, 0.211, 0.326, 0.715, 168.09, audio_features, 3w56ucf59EbjBU6TXN8JiB, spotify:track:3w56ucf59EbjBU6TXN8JiB, https://api.spotify.com/v1/tracks/3w56ucf59EbjBU6TXN8JiB, https://api.spotify.com/v1/audio-analysis/3w56ucf59EbjBU6TXN8JiB, 178920, 4
0.306, 0.889, 6, -8.691, 0, 0.117, 0.000824, 0.0121, 0.271, 0.255, 182.054, audio_features, 6DVNQXL9LRzKq8zjyFEuTC, spotify:track:6DVNQXL9LRzKq8zjyFEuTC, https://api.spotify.com/v1/tracks/6DVNQXL9LRzKq8zjyFEuTC, https://api.spotify.com/v1/audio-analysis/6DVNQXL9LRzKq8zjyFEuTC, 249000, 4
0.524, 0.982, 6, -2.865, 0, 0.126, 0.0092, 0.126, 0.328, 0.662, 122.916, audio_features, 2p11ZusZ3w6CDkYel6HkUw, spotify:track:2p11ZusZ3w6CDkYel6HkUw, https://api.spotify.com/v1/tracks/2p11ZusZ3w6CDkYel6HkUw, https://api.spotify.com/v1/audio-analysis/2p11ZusZ3w6CDkYel6HkUw, 191240, 4
0.686, 0.888, 6, -4.769, 0, 0.0592, 0.00174, 0.454, 0.286, 0.705, 100.036, audio_features, 7jfPP4iBTQFJAgafimQ0S4, spotify:track:7jfPP4iBTQFJAgafimQ0S4, https://api.spotify.com/v1/tracks/7jfPP4iBTQFJAgafimQ0S4, https://api.spotify.com/v1/audio-analysis/7jfPP4iBTQFJAgafimQ0S4, 317240, 4
0.514, 0.983, 1, -3.702, 0, 0.141, 0.00177, 0.169, 0.504, 0.333, 128.361, audio_features, 4A0a1jZGf6FhzPAmTRSFeN, spotify:track:4A0a1jZGf6FhzPAmTRSFeN, https://api.spotify.com/v1/tracks/4A0a1jZGf6FhzPAmTRSFeN, https://api.spotify.com/v1/audio-analysis/4A0a1jZGf6FhzPAmTRSFeN, 254560, 4
0.558, 0.903, 0, -5.034, 1, 0.0701, 0.35, 0.309, 0.278, 0.771, 127.364, audio_features, 08gIcAZma3A6R4CQUMnGmx, spotify:track:08gIcAZma3A6R4CQUMnGmx, https://api.spotify.com/v1/tracks/08gIcAZma3A6R4CQUMnGmx, https://api.spotify.com/v1/audio-analysis/08gIcAZma3A6R4CQUMnGmx, 324960, 4
0.594, 0.987, 2, -3.67, 1, 0.0766, 0.000306, 0.0983, 0.143, 0.471, 129.498, audio_features, 3MXoZJfVHe3EdprAFhDVao, spotify:track:3MXoZJfVHe3EdprAFhDVao, https://api.spotify.com/v1/tracks/3MXoZJfVHe3EdprAFhDVao, https://api.spotify.com/v1/audio-analysis/3MXoZJfVHe3EdprAFhDVao, 262027, 4
0.484, 0.852, 8, -6.83, 1, 0.0451, 0.000251, 1.05e-06, 0.0761, 0.806, 117.792, audio_features, 4041m5Nr5GuEaqDSq9wjXa, spotify:track:4041m5Nr5GuEaqDSq9wjXa, https://api.spotify.com/v1/tracks/4041m5Nr5GuEaqDSq9wjXa, https://api.spotify.com/v1/audio-analysis/4041m5Nr5GuEaqDSq9wjXa, 174787, 4
0.562, 0.835, 9, -3.134, 0, 0.112, 0.000356, 5.5e-06, 0.276, 0.442, 135.111, audio_features, 7xl2ZaOnKAxJyrkIQe2S43, spotify:track:7xl2ZaOnKAxJyrkIQe2S43, https://api.spotify.com/v1/tracks/7xl2ZaOnKAxJyrkIQe2S43, https://api.spotify.com/v1/audio-analysis/7xl2ZaOnKAxJyrkIQe2S43, 205357, 4
0.523, 0.866, 9, -3.81, 1, 0.079, 0.000656, 0.0497, 0.576, 0.562, 141.496, audio_features, 5l3xc1IrbnxOxgQL7Tippt, spotify:track:5l3xc1IrbnxOxgQL7Tippt, https://api.spotify.com/v1/tracks/5l3xc1IrbnxOxgQL7Tippt, https://api.spotify.com/v1/audio-analysis/5l3xc1IrbnxOxgQL7Tippt, 217246, 4
0.447, 0.9, 5, -6.741, 1, 0.0578, 0.00114, 0.00596, 0.47, 0.39, 135.861, audio_features, 0dcJ1SsbTmAvC3ZVvUYMIy, spotify:track:0dcJ1SsbTmAvC3ZVvUYMIy, https://api.spotify.com/v1/tracks/0dcJ1SsbTmAvC3ZVvUYMIy, https://api.spotify.com/v1/audio-analysis/0dcJ1SsbTmAvC3ZVvUYMIy, 199733, 4
0.591, 0.843, 5, -4.661, 1, 0.0456, 0.00264, 2.43e-06, 0.613, 0.78, 128.003, audio_features, 6LvBEr8AXEygkBLMqXR0lg, spotify:track:6LvBEr8AXEygkBLMqXR0lg, https://api.spotify.com/v1/tracks/6LvBEr8AXEygkBLMqXR0lg, https://api.spotify.com/v1/audio-analysis/6LvBEr8AXEygkBLMqXR0lg, 186627, 4
0.526, 0.902, 9, -4.385, 1, 0.0393, 0.216, 0.000124, 0.0985, 0.833, 123.856, audio_features, 1qkQZ2LcE24sgH31AEZxZB, spotify:track:1qkQZ2LcE24sgH31AEZxZB, https://api.spotify.com/v1/tracks/1qkQZ2LcE24sgH31AEZxZB, https://api.spotify.com/v1/audio-analysis/1qkQZ2LcE24sgH31AEZxZB, 226107, 4
0.677, 0.843, 5, -5.018, 0, 0.0531, 0.0292, 0.00128, 0.381, 0.587, 105.108, audio_features, 1lEuhb6nw1ONLPvwJZarse, spotify:track:1lEuhb6nw1ONLPvwJZarse, https://api.spotify.com/v1/tracks/1lEuhb6nw1ONLPvwJZarse, https://api.spotify.com/v1/audio-analysis/1lEuhb6nw1ONLPvwJZarse, 190507, 4
0.504, 0.877, 4, -7.469, 0, 0.053, 0.000242, 2.66e-06, 0.293, 0.821, 106.272, audio_features, 0Hl2Vuhhhh8buesoxUk1DW, spotify:track:0Hl2Vuhhhh8buesoxUk1DW, https://api.spotify.com/v1/tracks/0Hl2Vuhhhh8buesoxUk1DW, https://api.spotify.com/v1/audio-analysis/0Hl2Vuhhhh8buesoxUk1DW, 104360, 4
0.288, 0.757, 0, -8.065, 1, 0.0652, 0.0117, 0.14, 0.363, 0.311, 89.694, audio_features, 29anZRI6gLFCddYsVnEEq4, spotify:track:29anZRI6gLFCddYsVnEEq4, https://api.spotify.com/v1/tracks/29anZRI6gLFCddYsVnEEq4, https://api.spotify.com/v1/audio-analysis/29anZRI6gLFCddYsVnEEq4, 246200, 4
0.418, 0.383, 4, -11.782, 1, 0.0257, 0.0718, 0.0177, 0.0896, 0.352, 87.773, audio_features, 4B3dL0tGTyuCFrNC5cBVfh, spotify:track:4B3dL0tGTyuCFrNC5cBVfh, https://api.spotify.com/v1/tracks/4B3dL0tGTyuCFrNC5cBVfh, https://api.spotify.com/v1/audio-analysis/4B3dL0tGTyuCFrNC5cBVfh, 257480, 4
0.242, 0.859, 0, -8.4, 1, 0.0663, 0.056, 0.116, 0.38, 0.671, 96.929, audio_features, 2f6JvJhSAdiQDGRgCazpXy, spotify:track:2f6JvJhSAdiQDGRgCazpXy, https://api.spotify.com/v1/tracks/2f6JvJhSAdiQDGRgCazpXy, https://api.spotify.com/v1/audio-analysis/2f6JvJhSAdiQDGRgCazpXy, 276427, 4
0.456, 0.549, 4, -13.111, 1, 0.0343, 0.186, 0.00227, 0.0877, 0.834, 98.583, audio_features, 4WTk7vle9ubGFvRUkaGUBd, spotify:track:4WTk7vle9ubGFvRUkaGUBd, https://api.spotify.com/v1/tracks/4WTk7vle9ubGFvRUkaGUBd, https://api.spotify.com/v1/audio-analysis/4WTk7vle9ubGFvRUkaGUBd, 274010, 4
0.49, 0.781, 11, -10.1, 0, 0.268, 0.0108, 0.00118, 0.065, 0.764, 79.166, audio_features, 1Wj8TbAEUGChMPD1vvsUat, spotify:track:1Wj8TbAEUGChMPD1vvsUat, https://api.spotify.com/v1/tracks/1Wj8TbAEUGChMPD1vvsUat, https://api.spotify.com/v1/audio-analysis/1Wj8TbAEUGChMPD1vvsUat, 180173, 4
0.381, 0.773, 9, -11.41, 1, 0.0471, 9.03e-05, 0.015, 0.614, 0.489, 160.267, audio_features, 1gC2ac1OuetbDVygbEIXM7, spotify:track:1gC2ac1OuetbDVygbEIXM7, https://api.spotify.com/v1/tracks/1gC2ac1OuetbDVygbEIXM7, https://api.spotify.com/v1/audio-analysis/1gC2ac1OuetbDVygbEIXM7, 171640, 4
